"","datetime","transaction_type","keterangan","merchant_type","status","count"
"337",2024-05-05,"1133","KAI Purchase K3 Booking Ticket","igate6017","00",1
"338",2024-05-05,"1135","KAI Purchase K5 Purchase Train Ticket","igate6017","00",1
"339",2024-05-05,"1136","KAI Purchase K6 Inquiry Seat","igate6017","00",1
"340",2024-05-05,"1139","Sepulsa Paket Data","igate6017","00",48
"341",2024-05-05,"1141","Rintis TopUp Ovo Inq","igate6017","00",778
"342",2024-05-05,"1142","Rintis TopUp Ovo Post","igate6017","00",243
"343",2024-05-05,"1143","Rintis TopUp Gopay Inq","igate6017","00",757
"344",2024-05-05,"1144","Rintis TopUp Gopay Post","igate6017","00",228
"345",2024-05-05,"1147","Rintis TopUp LinkAja Inq","igate6017","00",18
"346",2024-05-05,"1148","Rintis TopUp LinkAja Post","igate6017","00",6
"347",2024-05-05,"1151","XL Postpaid Inquiry","igate6017","00",2
"348",2024-05-05,"1152","XL Postpaid Posting","igate6017","00",1
"349",2024-05-05,"1156","Sepulsa PDAM Inquiry","igate6017","00",6
"350",2024-05-05,"1157","Sepulsa PDAM Posting","igate6017","00",2
"351",2024-05-05,"A001","Register ARO","igate6017","00",128
"352",2024-05-05,"A004","Inquiry Balance Simple Account","igate6017","00",20928
"353",2024-05-05,"A006","Topup E-Money","igate6017","00",304
"354",2024-05-05,"A012","Account Statement Inquiry","igate6017","00",29
"355",2024-05-05,"A013","Inquiry CIF ARO","igate6017","00",31
"356",2024-05-05,"A014","Mini Statement ARO","igate6017","00",48
"357",2024-05-05,"A016","Posting Transfer Emoney","igate6017","00",3
"358",2024-05-05,"BEM0","Update Flag BEM","igate6017","00",11
"369",2024-05-05,"ECI0","ECI Authentication","igate6017","00",114
"370",2024-05-05,"QR00","QRIS Inquiry MPAN","igate6017","00",2461
"371",2024-05-05,"QR01","QRIS Posting Payment","igate6017","00",2200
"372",2024-05-06,"0000","CIF Inquiry","igate6017","00",1032
"373",2024-05-06,"0001","Balance Inquiry","igate6017","00",6241
"374",2024-05-06,"0002","Saving Accounts Inquiry","igate6017","00",55119
"375",2024-05-06,"0003","Deposit Accounts Inquiry","igate6017","00",385
"376",2024-05-06,"0004","Loan Accounts Inquiry","igate6017","00",632
"377",2024-05-06,"0005","Account Statement Inquiry","igate6017","00",4580
"378",2024-05-06,"0006","Transfer Overbook Inquiry","igate6017","00",1369
"379",2024-05-06,"0007","Transfer Overbook Posting","igate6014","00",282
"380",2024-05-06,"0007","Transfer Overbook Posting","igate6017","00",1013
"381",2024-05-06,"0008","Transfer SKN Posting","igate6014","00",17
"382",2024-05-06,"0008","Transfer SKN Posting","igate6017","00",32
"383",2024-05-06,"0009","Transfer RTGS Posting","igate6014","00",1
"384",2024-05-06,"0009","Transfer RTGS Posting","igate6017","00",1
"385",2024-05-06,"0010","Telco Purchase","igate6017","00",312
"386",2024-05-06,"0011","PLN Purchase Inquiry","igate6017","00",245
"387",2024-05-06,"0012","PLN Purchase Posting","igate6017","00",213
"388",2024-05-06,"0013","PLN Payment Inquiry","igate6017","00",144
"389",2024-05-06,"0014","PLN Payment Posting","igate6017","00",58
"390",2024-05-06,"0015","PLN Nontaglis Payment Inquiry","igate6017","00",6
"391",2024-05-06,"0016","PLN Nontaglis Payment Posting","igate6017","00",2
"392",2024-05-06,"0017","Telco Postpaid Inquiry","igate6017","00",28
"393",2024-05-06,"0018","Telco Postpaid Posting","igate6017","00",13
"394",2024-05-06,"0019","Telkom Payment Inquiry","igate6017","00",23
"395",2024-05-06,"0020","Telkom Payment Posting","igate6017","00",10
"396",2024-05-06,"0023","TV Payment Inquiry","igate6017","00",2
"397",2024-05-06,"0024","TV Payment Posting","igate6017","00",1
"398",2024-05-06,"0029","Payment VA Inquiry","igate6017","00",100
"399",2024-05-06,"0030","Payment VA Posting","igate6017","00",47
